SKALKY_tab1 17.1.2019 15:00 UTC , E4:8D:8C:16:6C:76 ,  , -87 ,  , 
SKALKY_tab2 15.1.2019 9:00 UTC , 4C:5E:0C:8C:BF:75 , -74 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 00:15:6D:5E:6D:6F , -91 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 44:D9:E7:6E:B4:D7 , -90 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 00:04:56:D0:CA:A8 , -92 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , E4:8D:8C:78:D3:F0 , -82 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 64:D1:54:AE:91:C5 , -93 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , D4:CA:6D:14:EA:4A , -92 , spoj-kladna ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 80:2A:A8:A4:55:9A , -87 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 4C:5E:0C:58:6B:EF , -93 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , CC:2D:E0:10:BC:14 , -86 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , DC:9F:DB:44:BC:D9 , -90 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 44:D9:E7:D8:D3:E3 , -90 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 24:A4:3C:D2:82:F0 , -88 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 64:D1:54:6C:BF:F4 , -92 ,   ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , 00:27:22:92:A1:E7 , -85 , ptp_novyrokytnik ,   , 
SKALKY_tab2 15.1.2019 9:00 UTC , B8:69:F4:11:62:BF , -91 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 4C:5E:0C:8C:BF:75 , -87 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 6C:3B:6B:06:46:91 , -92 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , E4:8D:8C:11:4B:61 , -83 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 00:04:56:D0:CA:A8 , -88 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 44:D9:E7:6E:B4:D7 , -84 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 00:15:6D:5E:6D:6F , -91 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , E4:8D:8C:78:D3:F0 , -81 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , E4:8D:8C:2E:F8:EF , -90 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , E4:8D:8C:82:6F:23 , -84 , B1V ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 04:18:D6:A4:04:D2 , -88 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , D4:CA:6D:E9:1B:FA , -93 , test ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 4C:5E:0C:58:6B:EF , -92 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , D4:CA:6D:BD:DC:F7 , -89 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 24:A4:3C:34:BF:F4 , -90 , APRI2 ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , CC:2D:E0:10:BC:14 , -90 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , DC:9F:DB:44:BC:D9 , -72 ,   ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , E4:8D:8C:99:98:83 , -94 , 777849859Raegge ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , 00:27:22:92:A1:E7 , -87 , ptp_novyrokytnik ,   , 
SKALKY_tab3 15.1.2019 9:00 UTC , B8:69:F4:11:62:BF , -85 ,   ,   , 
